,image_id,grade,pos_x,pos_y,width,height
9606,22040.jpg,A,343,331,336,249
9677,07760.jpg,A,453,72,307,238
29300,00598.jpg,A,315,53,398,372
41719,97124.jpg,B,441,97,338,266
37280,92623.jpg,B,568,77,344,320
10749,91706.jpg,A,402,372,287,216
33873,45362.jpg,A,377,42,322,297
40139,47442.jpg,A,363,299,399,374
38330,34281.jpg,A,455,112,366,373
8190,65151.jpg,B,449,89,426,430
42595,73263.jpg,B,435,90,335,299
39099,82658.jpg,A,160,147,599,512
38370,42112.jpg,A,430,177,380,233
38072,85288.jpg,A,570,287,267,281
39886,42421.jpg,A,212,47,554,490
30574,44610.jpg,A,303,350,465,309
7270,59570.jpg,B,314,19,544,620
39783,51099.jpg,A,255,65,579,591
37198,23397.jpg,A,551,143,287,259
15440,35943.jpg,A,471,152,497,568
1254,01873.jpg,B,179,95,561,607
12493,11450.jpg,A,127,239,357,322
10196,78521.jpg,A,398,336,330,251
17715,40005.jpg,C,508,125,427,552
3378,88759.jpg,A,41,36,829,684
28115,00597.jpg,A,364,134,444,330
42643,26149.jpg,A,464,283,339,254
1281,58985.jpg,B,258,104,560,571
36144,52811.jpg,B,492,216,242,361
38249,02603.jpg,B,378,310,383,295
43096,71716.jpg,B,391,226,364,303
23103,33974.jpg,A,294,27,397,372
1725,11179.jpg,B,185,157,486,539
8432,38139.jpg,B,382,212,370,254
6994,40547.jpg,C,134,40,793,570
17381,63705.jpg,A,452,113,453,452
43243,13109.jpg,A,424,244,404,321
10986,07087.jpg,B,345,241,387,283
4084,03074.jpg,B,5,6,810,714
2123,25751.jpg,A,65,55,649,579
15748,49066.jpg,A,510,149,495,517
31898,06786.jpg,A,274,43,431,338
37868,60246.jpg,B,544,220,308,273
11985,33929.jpg,B,148,209,387,293
38238,53285.jpg,A,445,26,323,345
30202,88179.jpg,A,628,6,341,251
26352,80063.jpg,A,335,150,393,320
9112,32725.jpg,A,450,448,259,230
25273,48776.jpg,A,329,202,393,400
12866,01904.jpg,A,89,198,363,292
38268,03042.jpg,A,412,183,361,271
23685,36354.jpg,A,284,35,433,362
18425,66789.jpg,A,492,316,382,344
17880,14238.jpg,B,461,105,481,505
28307,18164.jpg,C,275,265,507,416
33521,89264.jpg,A,367,308,266,278
27946,21790.jpg,A,307,39,532,420
6110,47469.jpg,A,381,126,496,573
14434,54663.jpg,A,55,131,620,530
22151,87180.jpg,C,403,237,507,306
13244,12708.jpg,B,67,198,415,438
3943,89837.jpg,B,10,7,908,713
2392,81975.jpg,A,73,301,360,355
41278,16710.jpg,A,502,61,304,246
7889,32579.jpg,B,447,315,356,322
9524,42871.jpg,A,423,307,280,213
13752,60134.jpg,B,115,136,437,414
6440,29206.jpg,A,316,195,462,525
8951,67389.jpg,B,346,284,429,274
20409,67316.jpg,B,471,285,456,328
21050,87090.jpg,A,399,46,573,364
7632,27489.jpg,A,465,251,310,293
39496,19887.jpg,A,381,31,461,564
14786,02725.jpg,A,0,121,543,467
736,17895.jpg,A,250,248,448,470
38220,74727.jpg,A,396,151,421,325
17895,84429.jpg,A,518,128,481,493
9883,18317.jpg,A,429,164,275,240
23392,76929.jpg,C,240,9,512,427
28616,80294.jpg,A,226,259,427,328
25181,37926.jpg,A,340,148,404,412
2964,30256.jpg,A,9,9,867,711
993,43417.jpg,C,255,111,583,568
13545,25093.jpg,A,64,162,482,449
42190,96318.jpg,A,463,299,287,236
22593,31482.jpg,C,275,188,426,322
4014,80622.jpg,C,6,3,878,717
15096,00289.jpg,A,511,77,638,643
31931,91263.jpg,A,253,148,461,366
36239,44890.jpg,B,446,140,329,277
20880,93892.jpg,A,551,398,380,319
11221,14671.jpg,A,379,232,328,282
10634,82747.jpg,A,458,227,261,223
19134,39721.jpg,B,407,14,486,391
34108,85654.jpg,B,256,25,674,695
4315,54414.jpg,C,6,12,805,708
16435,21669.jpg,A,555,213,394,462
39566,98683.jpg,A,247,96,611,476
3145,59506.jpg,C,109,11,829,709
28243,10671.jpg,C,338,87,516,474
30126,24268.jpg,C,370,345,386,259
1127,52804.jpg,B,291,23,487,602
39941,50757.jpg,A,171,59,597,449
9931,33344.jpg,A,454,103,291,262
23198,89042.jpg,A,209,122,484,346
22931,84194.jpg,A,258,82,469,368
18957,45912.jpg,A,447,189,454,372
33775,19813.jpg,A,404,102,276,293
460,05809.jpg,B,234,133,554,507
22274,96117.jpg,C,429,226,503,324
2595,82036.jpg,A,256,89,420,550
16649,94540.jpg,A,378,1,410,473
32697,53158.jpg,A,370,400,251,229
23646,17263.jpg,A,314,45,438,404
25713,58652.jpg,B,351,102,408,331
25790,03546.jpg,C,458,211,349,272
19171,85370.jpg,A,442,178,459,335
15423,08982.jpg,A,425,113,528,595
19369,37746.jpg,A,475,101,439,353
3363,86969.jpg,A,102,9,736,711
40872,27356.jpg,A,464,258,252,229
43008,71779.jpg,B,487,293,283,265
5564,75403.jpg,A,62,19,689,701
38641,52488.jpg,A,462,154,314,257
10301,50475.jpg,A,426,377,279,241
15484,97494.jpg,A,357,137,571,502
19344,45043.jpg,A,485,147,432,396
25796,58330.jpg,B,411,42,372,327
9028,00127.jpg,A,442,332,239,244
3868,12958.jpg,B,4,1,938,719
12163,30598.jpg,A,124,342,359,295
15289,09793.jpg,C,527,44,609,554
30497,86880.jpg,C,545,69,425,246
41517,12571.jpg,A,429,59,372,265
29018,35045.jpg,B,177,202,498,344
28107,15789.jpg,A,330,201,463,395
24009,86991.jpg,B,697,157,397,394
31438,70757.jpg,A,456,20,313,193
17052,79016.jpg,C,652,220,401,467
36541,90383.jpg,A,553,32,340,265
21522,69302.jpg,A,480,33,424,346
29409,73669.jpg,B,202,139,442,328
2874,15201.jpg,A,161,299,366,374
2306,26226.jpg,B,111,144,491,565
8315,02453.jpg,A,418,343,350,295
115,94168.jpg,A,229,98,501,556
43794,93799.jpg,B,451,313,338,285
40843,10144.jpg,A,481,436,274,199
26718,93936.jpg,A,349,51,389,370
12374,80484.jpg,A,174,266,340,287
30635,74756.jpg,A,494,241,354,254
43222,05047.jpg,A,474,57,344,310
14227,45484.jpg,B,27,115,563,484
8606,80108.jpg,A,420,345,335,249
5111,89139.jpg,C,9,4,729,674
25490,36748.jpg,B,438,164,399,368
41827,31120.jpg,B,485,88,284,314
27830,68343.jpg,A,322,183,440,398
25615,51368.jpg,A,636,149,323,398
28349,44619.jpg,C,326,34,446,373
36785,12306.jpg,B,518,75,438,312
3940,44092.jpg,A,14,8,743,712
6472,79161.jpg,A,351,56,535,657
1235,56531.jpg,B,180,6,662,545
24540,52432.jpg,B,521,160,427,378
40271,42386.jpg,A,369,27,481,397
6035,09053.jpg,A,132,9,825,711
31583,74707.jpg,A,447,217,298,263
39486,56018.jpg,A,201,55,688,525
36753,51871.jpg,C,520,323,327,253
44750,11462.jpg,C,513,248,302,341
13003,99772.jpg,A,61,197,425,327
28245,83742.jpg,C,317,26,472,452
3939,79470.jpg,B,11,9,844,711
39868,06490.jpg,A,243,44,650,545
13813,31788.jpg,A,71,143,519,425
36823,60366.jpg,B,531,77,345,259
24238,39719.jpg,B,685,122,374,404
25619,04160.jpg,A,437,183,375,376
14889,21576.jpg,A,52,96,490,406
18977,01006.jpg,A,407,176,501,390
41495,85636.jpg,B,508,59,304,328
21190,84632.jpg,C,438,120,428,349
33956,18350.jpg,A,352,252,340,279
36571,44084.jpg,A,476,256,314,239
28528,36179.jpg,C,270,264,471,367
618,11923.jpg,B,186,115,557,501
17280,60597.jpg,A,383,9,432,552
32982,97262.jpg,A,407,347,257,247
41238,32030.jpg,A,417,344,303,218
14856,01840.jpg,C,0,167,584,461
2851,33786.jpg,B,228,186,400,503
22360,83684.jpg,A,467,204,343,339
33399,42267.jpg,A,425,190,208,269
18915,38504.jpg,B,537,243,395,320
17832,67219.jpg,B,602,94,423,480
44936,42678.jpg,A,457,210,367,319
25535,46768.jpg,B,321,136,483,417
31540,18659.jpg,A,445,121,295,247
11181,25758.jpg,A,400,265,301,238
14101,49934.jpg,C,48,141,535,434
989,07071.jpg,A,253,148,552,449
36539,37872.jpg,A,504,44,381,273
7220,94594.jpg,B,364,20,582,629
38073,70700.jpg,B,570,307,246,248
33067,66506.jpg,A,415,153,260,241
18129,32704.jpg,A,490,73,404,395
3185,59006.jpg,A,6,1,976,719
37646,34671.jpg,A,574,196,261,339
17406,24711.jpg,A,746,310,449,410
14504,70373.jpg,C,0,216,510,427
43694,05810.jpg,A,489,341,335,279
20036,72214.jpg,B,452,43,454,325
2536,58337.jpg,A,184,161,414,423
21213,35466.jpg,A,495,94,404,339
13901,35979.jpg,B,79,197,439,452
30690,40171.jpg,B,572,49,330,224
41185,33613.jpg,A,494,34,238,273
8064,75119.jpg,C,445,213,376,305
3419,18973.jpg,A,6,6,830,714
40552,67358.jpg,A,477,135,267,253
13584,89733.jpg,B,23,139,440,356
5008,20531.jpg,B,11,20,753,700
37759,23246.jpg,A,525,156,345,266
671,34812.jpg,A,259,178,478,478
34152,01089.jpg,A,249,73,754,594
2225,73471.jpg,A,145,14,653,550
20075,54731.jpg,A,462,131,491,348
31204,76990.jpg,B,365,177,314,285
23428,81979.jpg,C,294,105,415,350
13187,82702.jpg,C,102,121,495,390
5431,61198.jpg,A,7,8,664,712
20121,23157.jpg,A,433,179,521,390
18997,34679.jpg,B,467,132,504,390
41480,48915.jpg,A,472,113,265,275
41061,02092.jpg,A,474,464,253,194
18682,58400.jpg,B,440,341,469,347
10387,28303.jpg,A,413,404,259,234
33462,79844.jpg,A,396,279,237,194
29935,63293.jpg,A,612,2,405,271
40836,13960.jpg,A,456,221,322,246
24877,11283.jpg,C,644,153,399,389
1356,04011.jpg,B,336,50,453,608
8739,94611.jpg,A,371,357,311,255
25139,50832.jpg,A,233,138,474,399
619,95548.jpg,B,244,142,548,578
37151,56015.jpg,B,557,80,330,305
26674,54033.jpg,C,326,94,446,350
1475,48614.jpg,B,106,21,605,630
9672,42249.jpg,A,387,391,337,244
38853,68768.jpg,B,398,191,352,244
10261,52420.jpg,A,456,285,253,241
8958,95718.jpg,B,375,296,368,234
33569,49845.jpg,B,377,277,308,261
17003,56244.jpg,A,391,3,476,461
34063,93278.jpg,A,363,199,342,335
39482,09540.jpg,A,347,49,460,583
30577,74464.jpg,A,275,324,491,294
35890,54856.jpg,A,227,9,662,711
1881,70972.jpg,A,106,178,432,457
1221,58205.jpg,B,204,129,481,584
39431,24455.jpg,A,323,61,459,568
4438,57668.jpg,B,14,46,829,674
9293,65804.jpg,A,434,262,302,250
23908,96229.jpg,B,660,171,337,358
19727,70099.jpg,A,508,21,395,364
24948,81166.jpg,A,514,159,390,425
33677,26770.jpg,A,369,182,296,237
26953,94952.jpg,A,343,70,507,359
13995,52180.jpg,A,54,163,443,479
12957,85887.jpg,A,9,142,465,408
1136,27000.jpg,B,114,9,597,646
5215,35999.jpg,A,5,10,784,710
3061,46144.jpg,B,7,4,967,716
1393,72769.jpg,B,203,52,495,610
41108,88935.jpg,C,482,74,268,325
30895,33274.jpg,C,550,172,443,204
2278,47781.jpg,A,306,45,505,660
10812,08219.jpg,C,413,355,276,243
2602,07171.jpg,A,24,322,311,370
27823,87780.jpg,A,235,92,572,417
3448,16590.jpg,A,32,23,729,697
36219,52560.jpg,A,497,168,282,303
39348,47979.jpg,A,222,26,652,519
3501,72027.jpg,B,196,12,911,708
37270,00679.jpg,B,491,205,332,285
11645,50431.jpg,C,373,134,323,278
18067,62941.jpg,A,471,215,407,345
40066,65585.jpg,A,323,110,546,394
9421,08748.jpg,A,395,378,266,240
20377,67105.jpg,A,512,211,425,358
10862,53639.jpg,A,474,235,249,230
19323,41518.jpg,A,497,61,410,338
28825,31250.jpg,A,208,181,467,309
29926,62415.jpg,B,286,333,498,312
22035,11461.jpg,A,356,45,564,367
9898,41514.jpg,A,398,320,321,250
23725,46591.jpg,A,310,183,472,342
44033,67926.jpg,C,454,343,308,274
41456,62194.jpg,A,490,296,246,214
17297,68243.jpg,A,599,233,427,413
17159,67184.jpg,C,432,12,437,471
22232,73566.jpg,A,420,94,423,352
19056,89416.jpg,A,499,222,409,358
37430,96949.jpg,A,562,170,284,267
12638,14462.jpg,B,140,235,363,284
15948,52748.jpg,A,398,44,508,493
15523,79456.jpg,A,341,88,478,567
29359,32212.jpg,A,260,118,453,319
41186,15348.jpg,C,497,88,232,250
13267,97798.jpg,A,55,59,473,429
38527,40609.jpg,B,487,118,292,329
9166,33247.jpg,A,391,418,326,248
568,50168.jpg,A,265,185,570,436
3126,69912.jpg,A,6,2,852,644
7420,85222.jpg,C,383,10,658,646
25705,65281.jpg,C,414,110,388,281
19949,58266.jpg,B,436,154,487,404
25132,58219.jpg,B,489,123,400,444
38540,60957.jpg,A,456,76,341,313
40550,58077.jpg,C,474,274,302,241
19551,98481.jpg,A,512,304,432,357
6532,58874.jpg,A,291,87,487,591
8254,55635.jpg,B,396,247,319,264
35526,24831.jpg,B,178,80,692,592
34851,86057.jpg,A,129,12,741,548
30877,65992.jpg,B,487,181,386,256
37395,29001.jpg,B,614,170,255,283
40143,64227.jpg,A,329,60,449,388
30386,32346.jpg,A,357,330,395,296
3955,68981.jpg,B,5,11,843,709
28659,62374.jpg,A,235,64,478,371
1797,28891.jpg,B,197,79,468,468
11155,06553.jpg,B,340,231,364,266
19436,18713.jpg,B,465,109,477,350
3161,96637.jpg,A,7,6,814,714
16318,51080.jpg,A,539,81,509,508
39779,99550.jpg,A,329,12,493,586
2524,03752.jpg,A,28,353,334,343
13241,12785.jpg,B,25,208,451,432
25255,34539.jpg,A,539,124,431,428
31551,56726.jpg,A,430,271,274,222
3433,31441.jpg,B,46,16,813,704
41566,04516.jpg,B,487,86,313,370
27738,87463.jpg,C,343,210,493,412
19214,39959.jpg,A,433,218,504,386
1717,99042.jpg,B,256,50,522,542
43834,24055.jpg,B,450,430,311,252
26118,40063.jpg,A,437,398,367,255
26655,26694.jpg,A,336,88,523,366
22094,98924.jpg,A,471,265,396,312
2558,61827.jpg,A,141,195,365,434
10855,51452.jpg,A,433,255,304,237
19995,76890.jpg,A,500,244,434,398
8653,50893.jpg,A,474,343,250,217
42892,94372.jpg,B,454,127,327,274
33373,14467.jpg,A,377,388,268,280
4225,28957.jpg,B,21,10,821,702
23766,79988.jpg,A,263,79,444,338
40602,04398.jpg,B,502,276,257,285
19269,98666.jpg,A,468,236,445,375
38743,79024.jpg,C,396,273,335,260
11719,33859.jpg,A,15,300,431,279
9894,79823.jpg,A,410,290,293,252
37503,42954.jpg,B,587,124,309,300
24113,71996.jpg,A,801,134,328,392
37330,55237.jpg,A,598,161,288,319
5275,79608.jpg,A,8,8,678,712
43396,03595.jpg,A,513,376,318,258
21850,34196.jpg,A,423,72,436,365
451,69727.jpg,B,296,179,471,492
6309,25616.jpg,B,161,168,496,545
8194,18865.jpg,B,466,131,378,251
36335,22739.jpg,B,460,74,388,347
1835,54999.jpg,A,202,80,546,446
15131,62272.jpg,C,432,83,600,591
38960,37899.jpg,A,415,345,312,240
29009,47427.jpg,B,253,247,378,314
3950,05201.jpg,C,8,6,909,714
35254,76112.jpg,A,263,0,702,691
25271,04590.jpg,B,545,156,397,469
9193,37599.jpg,A,413,362,296,232
631,44125.jpg,B,239,67,504,591
11646,93138.jpg,B,432,230,285,261
22549,28218.jpg,A,343,175,374,290
36174,84486.jpg,B,395,66,396,380
20221,18105.jpg,B,538,243,417,339
6795,18661.jpg,A,407,24,586,655
39101,37435.jpg,A,155,72,623,460
17077,08642.jpg,C,588,233,448,433
41804,43992.jpg,B,429,120,337,354
28118,13972.jpg,A,281,106,581,407
7397,71856.jpg,C,286,74,606,562
29376,71187.jpg,C,272,60,449,294
12734,04438.jpg,A,29,4,478,379
22900,68440.jpg,A,271,62,513,360
23484,24516.jpg,A,272,60,464,337
31680,48487.jpg,B,415,209,258,220
24965,40550.jpg,A,673,109,415,443
20058,81008.jpg,A,434,158,484,368
18033,47638.jpg,A,442,76,500,406
27002,57569.jpg,B,311,40,492,387
7503,65747.jpg,C,501,232,382,289
13420,49898.jpg,A,48,117,480,446
40472,12938.jpg,C,480,222,286,216
18982,96421.jpg,A,552,147,379,339
21034,69522.jpg,A,506,328,299,231
7276,46741.jpg,C,397,36,562,622
20539,30228.jpg,A,433,29,433,346
28308,93482.jpg,A,295,325,493,345
30210,14309.jpg,A,568,86,387,243
43435,30876.jpg,A,424,228,443,277
17012,82297.jpg,A,552,169,407,494
15455,39042.jpg,A,384,98,574,511
44943,63534.jpg,A,493,251,315,265
20054,21163.jpg,B,461,289,481,374
5709,80911.jpg,C,13,5,712,697
34041,99709.jpg,A,344,204,370,326
37804,59564.jpg,A,489,192,341,243
30594,16658.jpg,C,501,106,426,279
27859,20775.jpg,B,302,246,474,381
2100,45260.jpg,C,133,106,593,551
31881,98529.jpg,A,306,126,436,329
37516,55358.jpg,A,519,194,336,226
2637,31169.jpg,A,136,171,446,406
3678,26369.jpg,A,192,10,698,684
21223,38940.jpg,C,448,28,442,388
22812,74907.jpg,A,318,124,431,329
34733,01804.jpg,A,235,10,707,702
18229,42966.jpg,A,439,298,505,422
8022,58074.jpg,C,464,253,324,296
22415,59222.jpg,C,259,105,445,413
12847,59801.jpg,C,5,59,492,404
24069,45625.jpg,A,906,181,323,374
20991,35113.jpg,A,497,91,434,352
44931,71683.jpg,B,524,301,274,325
3214,26800.jpg,C,71,2,905,718
32528,82694.jpg,A,378,150,242,214
21166,78920.jpg,A,464,100,345,329
39342,29211.jpg,A,298,59,470,504
23238,96564.jpg,C,232,25,477,372
20178,78066.jpg,A,410,135,498,512
35496,24874.jpg,B,223,70,753,608
30894,85488.jpg,C,435,87,469,278
3601,85551.jpg,A,9,12,752,708
38166,21320.jpg,B,610,157,262,308
19483,51510.jpg,A,464,138,502,409
12503,02659.jpg,B,120,296,442,269
19827,00133.jpg,B,431,21,456,383
19052,51358.jpg,A,416,298,593,408
4753,73504.jpg,A,7,13,709,640
18388,30330.jpg,B,530,209,399,341
10019,74967.jpg,A,389,353,303,267
22777,45557.jpg,A,372,86,390,371
24651,43430.jpg,B,487,214,407,387
7214,09303.jpg,B,402,25,663,647
930,52837.jpg,A,261,83,479,535
42312,58383.jpg,B,470,358,280,225
1593,07780.jpg,C,320,48,523,611
13990,63399.jpg,A,24,155,478,451
18045,19652.jpg,C,450,288,418,362
25636,48761.jpg,A,493,173,330,416
39425,56658.jpg,A,350,99,446,570
42278,79554.jpg,B,466,251,291,239
14878,20115.jpg,A,0,110,529,530
22772,45427.jpg,A,294,154,410,343
34092,85855.jpg,A,113,3,885,692
5368,41056.jpg,A,14,15,643,705
4534,30742.jpg,B,4,6,766,711
23927,49834.jpg,A,413,147,366,366
4998,04937.jpg,A,9,15,749,705
38354,49925.jpg,B,357,233,396,303
627,59292.jpg,A,228,86,504,558
13892,75846.jpg,A,53,221,426,420
29066,87474.jpg,C,234,183,461,388
39349,84155.jpg,A,337,28,435,561
8775,50358.jpg,A,424,333,332,246
7267,37254.jpg,A,498,58,530,577
40050,70806.jpg,C,274,63,633,523
28877,13539.jpg,B,186,139,450,371
25084,90366.jpg,B,492,143,397,364
4258,78382.jpg,A,0,6,916,714
1483,13607.jpg,B,271,34,600,649
3986,59760.jpg,C,3,4,867,716
35342,81371.jpg,B,101,55,777,556
16007,61410.jpg,A,535,111,416,476
34559,39981.jpg,A,203,14,658,625
1408,15091.jpg,B,155,40,631,615
7310,06292.jpg,A,372,36,675,606
28957,62623.jpg,A,144,234,539,352
1233,48835.jpg,A,242,82,528,625
7127,79037.jpg,C,365,11,706,688
4877,04048.jpg,C,107,1,987,719
41809,94805.jpg,B,455,24,301,233
8567,80887.jpg,B,422,147,279,226
42636,02077.jpg,A,506,213,287,309
4356,07796.jpg,B,6,9,795,711
7971,68557.jpg,B,518,207,298,277
21566,48198.jpg,A,480,122,437,328
20510,77426.jpg,B,469,233,424,326
12218,06824.jpg,A,107,238,402,290
1637,57039.jpg,A,76,257,430,394
33359,30349.jpg,A,391,299,237,291
33557,03833.jpg,A,397,314,258,263
39921,86892.jpg,A,279,110,544,581
21983,22058.jpg,A,429,137,461,305
1082,31548.jpg,A,273,147,570,554
34153,11899.jpg,A,194,77,708,566
17658,92685.jpg,B,384,37,512,502
5941,52873.jpg,A,51,7,834,713
41722,95164.jpg,A,478,130,327,275
36767,69290.jpg,A,551,101,366,266
42129,73131.jpg,A,445,290,306,227
42386,00370.jpg,A,468,244,322,271
26296,42646.jpg,B,362,129,385,346
11689,79436.jpg,B,121,258,344,303
330,33093.jpg,C,162,139,525,533
43348,65079.jpg,A,437,166,397,265
19833,40202.jpg,A,477,187,396,402
33531,12561.jpg,A,426,151,251,278
27342,66295.jpg,C,347,179,441,355
39000,01979.jpg,A,311,85,488,414
43621,50492.jpg,C,535,372,306,255
16894,28040.jpg,A,535,138,526,474
14080,35978.jpg,B,73,174,530,401
